Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2017-01-30;4,21;4,22;4,31;4,34;4,2;4,21;4,24;18533422;78612136,96;10241
2017-01-27;4,33;4,34;4,42;4,44;4,25;4,33;4,31;20591653;88820147,08;11518
2017-01-26;4,39;4,39;4,31;4,45;4,29;4,39;4,38;32099713;140726175,95;15478
2017-01-25;4,26;4,26;4,32;4,32;4,23;4,26;4,26;23179551;98766297,74;11915
2017-01-24;4,31;4,31;4,31;4,35;4,24;4,31;4,29;20519543;88081898,68;11781
2017-01-23;4,3;4,3;4,39;4,4;4,3;4,31;4,35;17967306;78080343,58;10680
2017-01-20;4,44;4,45;4,44;4,48;4,42;4,45;4,46;19182514;85486503,62;9622
2017-01-19;4,43;4,44;4,42;4,46;4,37;4,42;4,42;14776103;65240425,65;7263
2017-01-18;4,42;4,42;4,43;4,44;4,36;4,42;4,4;13578531;59707422,9;7429
2017-01-17;4,43;4,44;4,44;4,45;4,39;4,42;4,42;12408693;54902428,68;6998
2017-01-16;4,45;4,45;4,45;4,47;4,4;4,45;4,44;9139547;40591380,11;4808
2017-01-13;4,5;4,51;4,43;4,51;4,41;4,5;4,47;13676042;61119277,58;7464
2017-01-12;4,39;4,39;4,48;4,49;4,36;4,4;4,4;22309481;98166207,28;11618
2017-01-11;4,52;4,52;4,57;4,58;4,5;4,51;4,53;12564817;56901179,23;7429
2017-01-10;4,56;4,56;4,56;4,6;4,55;4,57;4,57;13792647;63002376,89;7099
2017-01-09;4,59;4,59;4,66;4,67;4,57;4,58;4,59;21792502;100056086,9;9157
2017-01-05;4,57;4,58;4,6;4,61;4,57;4,58;4,58;12013888;55040246,68;6411
2017-01-04;4,58;4,58;4,59;4,6;4,55;4,58;4,58;14659241;67099769,78;7324
2017-01-03;4,56;4,56;4,66;4,66;4,53;4,57;4,58;17334931;79406342,75;10096
2017-01-02;4,63;4,63;4,59;4,63;4,55;4,63;4,6;9451182;43441062,54;5542
2016-12-30;4,56;4,56;4,59;4,61;4,54;4,59;4,58;20173942;92474032,76;9392
2016-12-29;4,59;4,6;4,6;4,63;4,58;4,6;4,61;12007706;55356672,96;6746
2016-12-28;4,62;4,63;4,69;4,7;4,61;4,62;4,64;12947151;60101668,37;6012
2016-12-27;4,67;4,68;4,66;4,69;4,65;4,69;4,68;7742773;36211765,72;4985
2016-12-23;4,64;4,65;4,5;4,66;4,5;4,66;4,6;15035973;69121053,23;8322
2016-12-22;4,49;4,5;4,55;4,59;4,48;4,5;4,51;28199087;127271060,83;16196
2016-12-21;4,73;4,73;4,68;4,74;4,68;4,73;4,72;15109697;71339916,16;7858
2016-12-20;4,69;4,69;4,7;4,73;4,66;4,68;4,69;17205163;80694941,69;9521
2016-12-19;4,67;4,68;4,69;4,72;4,67;4,68;4,69;20216858;94809748,17;10157
2016-12-16;4,64;4,64;4,54;4,69;4,53;4,65;4,65;47235077;219540506,53;17198
2016-12-15;4,52;4,52;4,48;4,55;4,47;4,52;4,51;30326526;136691948,36;12329
2016-12-14;4,46;4,46;4,44;4,48;4,42;4,46;4,45;23147832;103042267,35;10159
2016-12-13;4,43;4,43;4,37;4,45;4,35;4,44;4,42;20536682;90704231,13;8240
2016-12-12;4,34;4,34;4,35;4,36;4,31;4,34;4,34;22697880;98537124,14;10416
2016-12-09;4,33;4,34;4,3;4,36;4,3;4,33;4,33;18170861;78652393,64;9081
2016-12-08;4,29;4,3;4,34;4,35;4,25;4,29;4,29;25982803;111545579,14;12420
2016-12-07;4,3;4,3;4,28;4,32;4,24;4,3;4,28;33006636;141360704,98;15600
2016-12-05;4,12;4,13;3,93;4,13;3,93;4,12;4,06;23359653;94723028,33;10554
2016-12-02;3,94;3,94;3,99;3,99;3,94;3,94;3,95;20441946;80839796,68;9858
2016-12-01;4,0;4,0;4,06;4,06;3,99;4,0;4,02;16451785;66202074,52;8256
2016-11-30;4,05;4,06;4,02;4,07;3,99;4,06;4,05;22688866;91794445,66;8923
2016-11-29;4,01;4,02;4,01;4,03;3,95;4,02;4,01;16641552;66733758,27;7877
2016-11-28;4,0;4,0;4,08;4,1;4,0;4,0;4,02;15256189;61314280,24;7928
2016-11-25;4,08;4,08;4,04;4,12;4,03;4,08;4,07;21626252;88045577,12;11010
2016-11-24;4,03;4,03;3,91;4,04;3,91;4,04;4,01;20135019;80641679,83;9891
2016-11-23;3,93;3,93;3,91;3,94;3,86;3,92;3,9;17523891;68370735,35;9628
2016-11-22;3,9;3,9;3,9;3,93;3,88;3,91;3,91;15556503;60829223,06;9140
2016-11-21;3,88;3,88;3,91;3,94;3,87;3,88;3,89;16492685;64224351,14;9456
2016-11-18;3,91;3,91;3,88;3,94;3,84;3,91;3,9;22894791;89349380,06;12393
2016-11-17;3,89;3,89;3,85;3,91;3,82;3,88;3,88;29634315;114899065,54;14196
2016-11-16;3,85;3,85;3,85;3,96;3,79;3,84;3,86;39819848;153516324,65;21226
2016-11-15;3,83;3,83;3,85;3,86;3,66;3,81;3,78;58806910;221994096,16;28732
2016-11-14;3,97;3,97;4,05;4,08;3,96;3,96;4,01;25474290;102069866,47;12015
2016-11-11;3,99;4,0;4,11;4,13;3,99;4,01;4,04;18161936;73345153,75;9734
2016-11-10;4,1;4,1;4,05;4,17;4,04;4,09;4,11;32460141;133477423,67;15270
2016-11-09;4,01;4,01;3,8;4,01;3,77;4,01;3,92;35161643;137954127,99;17502
2016-11-08;3,97;3,97;4,0;4,04;3,94;3,97;3,99;23045971;92029406,89;11651
2016-11-07;4,0;4,01;3,92;4,04;3,91;3,99;4,0;28546369;114184081,67;14370
2016-11-04;3,86;3,87;3,94;3,94;3,82;3,86;3,86;28591858;110248140,24;16035
2016-11-03;3,94;3,94;3,98;4,0;3,94;3,94;3,97;25991630;103114693,03;15004
2016-11-02;3,99;3,99;3,97;4,01;3,93;3,98;3,97;22596675;89809144,36;13634
2016-11-01;3,98;3,98;4,04;4,09;3,97;3,97;4,01;30048977;120607411,33;15782
2016-10-31;4,07;4,08;4,15;4,15;4,06;4,07;4,09;30817627;126079204,99;15098
2016-10-28;4,15;4,15;4,3;4,3;4,09;4,15;4,16;47727193;198773833,18;28369
2016-10-27;4,33;4,34;4,68;4,69;4,25;4,32;4,37;72452150;316665174,73;42280
2016-10-26;4,68;4,68;4,55;4,7;4,55;4,68;4,63;32036915;148345814,51;15115
2016-10-25;4,53;4,53;4,55;4,56;4,49;4,53;4,52;18777783;84901444,68;10120
2016-10-24;4,54;4,54;4,53;4,56;4,51;4,55;4,54;15392803;69915820,03;8665
2016-10-21;4,48;4,49;4,57;4,57;4,49;4,5;4,51;18296778;82604955,09;10237
2016-10-20;4,54;4,54;4,53;4,57;4,5;4,54;4,54;21606625;98088262,78;11977
2016-10-19;4,5;4,51;4,57;4,58;4,5;4,51;4,52;14580274;65913940,41;8448
2016-10-18;4,55;4,56;4,52;4,56;4,49;4,56;4,53;17044470;77283799,82;9882
2016-10-17;4,51;4,51;4,52;4,53;4,47;4,51;4,5;16628498;74889302,47;9657
2016-10-14;4,51;4,51;4,44;4,54;4,41;4,52;4,5;19772430;88890683,07;12082
2016-10-13;4,45;4,46;4,57;4,58;4,4;4,44;4,48;39040092;174833530,46;23538
2016-10-12;4,63;4,63;4,6;4,68;4,5;4,62;4,62;54429757;251669925,51;32006
2016-10-11;4,87;4,87;4,95;4,96;4,87;4,87;4,9;16423113;80508661,52;9138
2016-10-10;4,95;4,95;4,89;4,96;4,85;4,96;4,92;17351761;85380633,37;9588
2016-10-07;4,87;4,87;4,95;4,95;4,78;4,87;4,84;32118062;155433623,85;17444
2016-10-06;4,94;4,94;5,09;5,09;4,93;4,93;4,97;32014455;159168409,56;14153
2016-10-05;5,11;5,12;5,15;5,15;5,1;5,11;5,12;12424926;63565903,44;4875
2016-10-04;5,18;5,18;5,13;5,2;5,11;5,19;5,17;11892270;61469144,65;5045
2016-10-03;5,12;5,12;5,17;5,18;5,11;5,13;5,13;8742793;44849247,29;4516
2016-09-30;5,16;5,16;5,09;5,17;5,03;5,16;5,11;20210192;103275294,56;8636
2016-09-29;5,12;5,12;5,12;5,2;5,1;5,13;5,13;14683037;75394635,62;7051
2016-09-28;5,07;5,07;5,06;5,1;5,05;5,08;5,08;12862488;65335425,99;5386
2016-09-27;5,05;5,05;5,05;5,1;4,95;5,06;5,03;17511854;88125325,87;8195
2016-09-26;4,97;4,98;5,03;5,04;4,95;4,98;4,98;12307781;61259986,72;6195
2016-09-23;5,04;5,04;5,09;5,1;5,01;5,04;5,04;13274849;66964649,31;6451
2016-09-22;5,08;5,09;4,97;5,1;4,96;5,1;5,05;20491751;103480810,72;9231
2016-09-21;4,92;4,92;4,92;4,98;4,92;4,93;4,94;10840807;53596766,98;6077
2016-09-20;4,89;4,89;4,91;4,92;4,88;4,89;4,89;9351745;45766982,14;5037
2016-09-19;4,91;4,91;4,89;4,94;4,88;4,91;4,92;12354261;60727311,12;6783
2016-09-16;4,84;4,85;4,82;4,89;4,78;4,84;4,84;31304958;151569244,89;11123
2016-09-15;4,89;4,89;4,85;4,9;4,78;4,89;4,85;16882746;81833926,56;10624
2016-09-14;4,88;4,89;4,95;4,96;4,87;4,87;4,9;19147640;93826254,73;9623
2016-09-13;4,94;4,94;5,01;5,03;4,93;4,93;4,96;17132029;85032067,08;7429
2016-09-12;4,96;4,97;5,0;5,02;4,9;4,96;4,95;25587109;126549989,56;14737
2016-09-09;5,08;5,09;5,13;5,15;5,08;5,1;5,11;10637144;54323584,75;5139
2016-09-08;5,14;5,14;5,19;5,2;5,08;5,13;5,14;16044492;82450140,58;6867
2016-09-07;5,19;5,19;5,12;5,2;5,08;5,19;5,15;14769320;76020886,65;6772
